title,year,genre,rating,votes,plot,tags
The Last of Us: Part I,2022,"action, adventure, drama",9.8,601,"Experience the emotional storytelling and unforgettable characters in The Last of Us, winner of over 200 Game of the Year awards, now rebuilt from the ground up for the PlayStation 5 console.","['singleplayer', 'multiplayer', 'full controller support', 'atmospheric',  'great soundtrack', 'story rich', 'third person', 'horror', 'gore', 'violent', 'third-person shooter', 'action-adventure', 'zombies', 'post-apocalyptic', 'survival horror', 'cinematic', 'realistic', 'remake', 'drama', 'emotional', 'remote play on tv']"
Red Dead Redemption II,2018,"action, adventure, crime",9.7,36441,"Amidst the decline of the Wild West at the turn of the 20th century, outlaw Arthur Morgan and his gang struggle to cope with the loss of their way of life.","['singleplayer', 'multiplayer', 'atmospheric', 'great soundtrack', 'co-op', 'story rich', 'open world', 'first-person', 'third person', 'partial controller support', 'fps', 'online co-op', 'gore', 'exploration', 'sandbox', 'violent', 'third-person shooter', 'pvp', 'in-app purchases', 'mature', 'historical', 'cinematic', 'realistic', 'crime', 'online pvp', 'blood', 'america', 'masterpiece', 'beautiful', 'hunting', 'western']"
The Witcher 3: Wild Hunt - Blood and Wine,2016,"action, adventure, drama",9.7,7610,Geralt is in the southern province of Toussaint where a monstrous serial killer is targeting knights with a dark past. Geralt and his old vampire friend investigate the killer's motives.,"['horror', 'war', 'blood', 'love']"
The Witcher 3: Wild Hunt,2015,"action, adventure, drama",9.7,26328,A monster hunter for hire embarks on an epic journey to find his former apprentice before The Wild Hunt can capture her and bring about the destruction of the world.,"['singleplayer', 'full controller support', 'atmospheric', 'great soundtrack', 'rpg', 'story rich', 'open world', 'third person', 'fantasy', 'sandbox', 'action rpg', 'dark', 'nudity', 'controller support', 'choices matter', 'mature', 'dark fantasy', 'medieval', 'magic', 'multiple endings']"
The Last of Us,2013,"action, adventure, drama",9.7,61103,"In a hostile, post-pandemic world, Joel and Ellie, brought together by desperate circumstances, must rely on each other to survive a brutal journey across what remains of the United States.",['exclusive']
Mass Effect: Legendary Edition,2021,"action, adventure, sci-fi",9.7,1628,A compilation of the first three Mass Effect games.,"['singleplayer', 'full controller support', 'atmospheric', 'great soundtrack', 'rpg', 'story rich', 'sci-fi', 'classic', 'female protagonist', 'action rpg', 'third-person shooter', 'space', 'nudity', 'character customization', 'choices matter', 'military', 'combat', 'sexual content', 'steam trading cards', 'tactical rpg', 'remote play on tv', 'ea play']"
God of War,2018,"action, adventure, drama",9.6,26507,"After wiping out the gods of Mount Olympus, Kratos moves on to the frigid lands of Scandinavia, where he and his son must embark on an odyssey across a dangerous world of gods and monsters.","['atmospheric', 'story rich', 'hack and slash', 'blood', 'mythology']"
Persona 5 Royal,2019,"action, adventure, fantasy",9.6,1214,A group of high school students create a vigilante group to expose the crimes of corrupt adults but soon find themselves in the midst of a worldwide conspiracy and targeted by powerful individuals who would do anything to silence them.,"['singleplayer',  'full controller support',  'great soundtrack', 'rpg', 'story rich', 'violent', 'anime', 'colorful', 'turn-based strategy', 'sexual content', 'multiple endings', 'jrpg', 'steam trading cards', 'visual novel', 'detective', 'turn-based combat', 'heist', 'dating sim', 'soundtrack', 'party-based rpg', 'emotional']"
The Legend of Zelda: Ocarina of Time,1998,"action, adventure, fantasy",9.6,9576,A young Kokiri boy discovers that his destiny is to free the Seven Sages and save the land of Hyrule from the treacherous sorcerer Ganondorf.,['singleplayer']
Metal Gear Solid,1998,"action, adventure, drama",9.6,11809,"A crack government anti-terrorist squad takes over an obscure Alaskan nuclear disposal facility. Solid Snake is up for the task to infiltrate the facility, rescue the two hostages and thwart the terrorists' plans.","['singleplayer', 'exclusive']"
The Witcher 3: Wild Hunt - Hearts of Stone,2015,"action, adventure, drama",9.5,6302,"Geralt is forced by a seemingly harmless merchant with sinister powers to complete three difficult tasks for a bored immortal, once a troubled nobleman who made a deal with the devil.","['romance', 'monsters', 'hunt', 'pack']"
Uncharted 4: A Thief's End,2016,"action, adventure, drama",9.5,28985,"Thrown back into the dangerous underworld he'd tried to leave behind, Nathan Drake must decide what he's willing to sacrifice to save the ones he loves.","['atmospheric', 'action-adventure']"
The Legend of Zelda: Breath of the Wild,2017,"action, adventure, fantasy",9.5,7253,"After a century of hibernation, Link reawakens to once again save a ruined Hyrule from a great evil.","['rpg', 'open world', 'sandbox', 'action-adventure', 'exclusive']"
Grand Theft Auto V,2013,"action, crime, drama",9.5,60381,Three very different criminals team up for a series of heists and walk into some of the most thrilling experiences in the corrupt city of Los Santos.,"['singleplayer',  'multiplayer', 'full controller support', 'atmospheric', 'great soundtrack', 'rpg', 'co-op', 'open world', 'first-person', 'third person', 'funny', 'sandbox', 'comedy', 'third-person shooter', 'moddable', 'crime', 'vr mod']"
Mass Effect 2,2010,"action, adventure, drama",9.5,19961,"After being revived from death and having to join a pro-human organization without a choice, Commander Shepard must assemble a team, battle a new threat, and make tough choices in order to save the galaxy from total annihilation once more.","['singleplayer', 'atmospheric', 'great soundtrack', 'rpg', 'story rich', 'third person', 'sci-fi', 'classic', 'female protagonist', 'action rpg', 'third-person shooter', 'space', 'character customization', 'choices matter', 'cinematic', 'real-time with pause', 'romance']"
Red Dead Redemption,2010,"action, adventure, crime",9.5,26767,A former outlaw is forced by the federal government to hunt down the members of his old gang.,"['multiplayer', 'combat', 'shoot', 'waves', 'nightmare', 'clone']"
Half-Life: Alyx,2020,"action, adventure, horror",9.5,737,"A VR game of an impossible fight against a vicious alien race known as the Combine, set between the events of Half-Life and Half-Life 2. Play as Alyx Vance, humanity's only chance for survival.","['singleplayer',  'atmospheric', 'great soundtrack', 'story rich', 'first-person', 'sci-fi', 'horror', 'fps', 'female protagonist', 'steam workshop', 'zombies', 'includes level editor', 'captions available', 'futuristic', 'memes', 'aliens', 'vr', 'masterpiece', 'beautiful', 'vr support', 'vive']"
Elden Ring,2022,"action, adventure, fantasy",9.5,4378,"In a dark fantasy world created by Hidetaka Miyazaki (Dark Souls) and George R. R. Martin (A Song of Ice and Fire), the player is a Tarnished who is called back to the Lands Between to restore the Elden Ring and become the Elden Lord.","['singleplayer',  'multiplayer', 'full controller support', 'atmospheric', 'great soundtrack', 'rpg', 'co-op', 'open world', 'third person', 'online co-op', 'fantasy', 'difficult', 'violent', 'action rpg', 'pvp', 'dark fantasy', 'online pvp', 'steam trading cards', 'epic', 'souls-like', 'history']"
Metal Gear Solid 3: Snake Eater,2004,"action, adventure, drama",9.5,10477,"In 1964, a U.S. government operative codenamed ""Snake"" must infiltrate mountainous Soviet territory to rescue a scientist building a weapon of terrible power.",['stealth']
Star Wars: Knights of the Old Republic,2003,"action, adventure, fantasy",9.5,8633,"A republic soldier, training to become a Jedi Knight, is given the task of halting the conquest of Darth Malak by discovering the location of a weapon known as the Star Forge.","['atmospheric',  'great soundtrack', 'rpg', 'story rich', 'third person', 'sci-fi', 'fantasy', 'classic', 'exploration', 'female protagonist', 'space', 'role-playing', 'moddable', 'turn-based', 'choices matter', 'real-time with pause', 'party-based rpg', 'star wars', 'single player only']"
Chrono Trigger,1995,"action, adventure, fantasy",9.5,3021,"Crono, a young boy, is thrust to adventure by destiny to destroy an oncoming threat that will destroy the world in 1999.","['singleplayer', 'multiplayer', 'role-playing', 'jrpg']"
Final Fantasy VII,1997,"action, adventure, fantasy",9.5,10452,A former soldier from an evil company joins a mercenary clan to fight the company he once served.,"['atmospheric', 'rpg', 'exploration', 'action-adventure', 'exclusive', 'cinematic', 'jrpg', 'role playing game']"
Uncharted: The Nathan Drake Collection,2015,"action, adventure, fantasy",9.4,5436,"A remastered collection of Uncharted: Drake's Fortune (2007), Uncharted 2: Among Thieves (2009), and Uncharted 3: Drake's Deception (2011) for PlayStation 4.","['online', 'epic', 'race', 'collection', 'treasure', 'dog', 'friendship']"
Bloodborne: The Old Hunters,2015,"action, adventure, fantasy",9.4,1550,"In this DLC for Bloodborne, the player-Hunter is transported to the sinister Hunter's Nightmare, a demented place where hunters who become drunk with blood are sent to.",['souls-like']
The Elder Scrolls V: Skyrim,2011,"action, adventure, fantasy",9.4,29526,"After escaping execution, the last living Dragonborn must grow in strength and power to defeat the dragons that have once again begun to plague the land of Skyrim.","['singleplayer',  'atmospheric',   'great soundtrack', 'rpg', 'story rich', 'open world', 'first-person', 'third person', 'partial controller support', 'fantasy', 'sandbox', 'action rpg', 'steam workshop', 'role-playing', 'moddable', 'character customization', 'dark fantasy', 'medieval', 'magic', 'lore-rich', 'dragons']"
Portal 2,2011,"adventure, comedy, sci-fi",9.4,15687,"Many years after ""Portal,"" Chell reawakens at Aperture Science and tries to stop GLaDOS once again with the help of Wheatley, who has his own plans for the historical facility.","['singleplayer',  'multiplayer', 'full controller support', 'atmospheric',   'co-op', 'story rich', 'first-person', 'sci-fi', 'fps', 'online co-op', 'funny', 'female protagonist', 'comedy', 'local co-op', 'stats', 'steam workshop', 'space', 'includes level editor', 'captions available', 'commentary available', 'science']"
Batman: Arkham City,2011,"action, adventure, crime",9.4,30935,"When part of Gotham is turned into a private reserve for criminals known as Arkham City, all hell is sure to break loose, and the Dark Knight is the only one who can stop it.","['horror', 'story', 'city', 'soundtrack', 'flight', 'prison', 'skeletons']"
